timestamp,model,task,prompt_tokens,completion_tokens,total_tokens
2026-02-16 01:40:18,accounts/fireworks/models/kimi-k2p5,extract,192,47,239
2026-02-16 01:40:20,accounts/fireworks/models/kimi-k2p5,persona,483,400,883
2026-02-16 01:40:21,accounts/fireworks/models/kimi-k2p5,extract,199,49,248
2026-02-16 01:40:23,accounts/fireworks/models/kimi-k2p5,extract,186,46,232
2026-02-16 01:40:26,accounts/fireworks/models/kimi-k2p5,persona,463,400,863
2026-02-16 01:40:27,accounts/fireworks/models/kimi-k2p5,extract,184,42,226
2026-02-16 01:40:31,accounts/fireworks/models/kimi-k2p5,extract,197,47,244
2026-02-16 01:40:33,accounts/fireworks/models/kimi-k2p5,extract,198,50,248
2026-02-16 01:40:33,accounts/fireworks/models/kimi-k2p5,persona,487,400,887
2026-02-16 01:40:37,accounts/fireworks/models/kimi-k2p5,persona,488,400,888
2026-02-16 01:40:38,accounts/fireworks/models/kimi-k2p5,extract,189,41,230
2026-02-16 01:40:39,accounts/fireworks/models/kimi-k2p5,extract,163,41,204
2026-02-16 01:40:39,accounts/fireworks/models/kimi-k2p5,extract,159,42,201
2026-02-16 01:40:42,accounts/fireworks/models/kimi-k2p5,persona,435,400,835
2026-02-16 01:40:46,accounts/fireworks/models/kimi-k2p5,persona,461,400,861
2026-02-16 01:40:48,accounts/fireworks/models/kimi-k2p5,extract,156,41,197
2026-02-16 01:40:49,accounts/fireworks/models/kimi-k2p5,persona,496,400,896
2026-02-16 01:43:15,accounts/fireworks/models/kimi-k2p5,extract,174,42,216
2026-02-16 02:07:08,accounts/fireworks/models/kimi-k2p5,extract,224,41,265
2026-02-16 02:07:09,accounts/fireworks/models/kimi-k2p5,reflection,103,44,147
2026-02-16 02:07:19,accounts/fireworks/models/kimi-k2p5,extract,225,46,271
2026-02-16 02:07:27,mistralai/mistral-large-3-675b-instruct-2512,persona,571,58,629
2026-02-16 02:07:31,accounts/fireworks/models/kimi-k2p5,extract,239,46,285
2026-02-16 02:07:48,mistralai/mistral-large-3-675b-instruct-2512,persona,700,54,754
2026-02-16 02:07:52,accounts/fireworks/models/kimi-k2p5,reflection,447,191,638
2026-02-16 02:07:53,accounts/fireworks/models/kimi-k2p5,extract,220,46,266
2026-02-16 02:08:10,mistralai/mistral-large-3-675b-instruct-2512,persona,739,57,796
2026-02-16 02:08:14,accounts/fireworks/models/kimi-k2p5,extract,218,46,264
2026-02-16 02:08:27,mistralai/mistral-large-3-675b-instruct-2512,persona,765,50,815
2026-02-16 02:08:31,accounts/fireworks/models/kimi-k2p5,extract,228,41,269
2026-02-16 02:08:32,accounts/fireworks/models/kimi-k2p5,reflection,101,40,141
2026-02-16 02:08:50,mistralai/mistral-large-3-675b-instruct-2512,persona,552,59,611
2026-02-16 02:08:52,accounts/fireworks/models/kimi-k2p5,reflection,173,146,319
2026-02-16 02:09:14,mistralai/mistral-large-3-675b-instruct-2512,persona,676,87,763
2026-02-16 02:09:18,accounts/fireworks/models/kimi-k2p5,reflection,215,67,282
2026-02-16 02:09:20,accounts/fireworks/models/kimi-k2p5,extract,216,56,272
2026-02-16 02:09:20,accounts/fireworks/models/kimi-k2p5,reflection,477,148,625
2026-02-16 02:09:39,mistralai/mistral-large-3-675b-instruct-2512,persona,752,67,819
2026-02-16 02:09:45,accounts/fireworks/models/kimi-k2p5,reflection,224,61,285
2026-02-16 02:09:45,accounts/fireworks/models/kimi-k2p5,extract,217,55,272
2026-02-16 02:10:02,mistralai/mistral-large-3-675b-instruct-2512,persona,803,65,868
2026-02-16 02:10:04,accounts/fireworks/models/kimi-k2p5,reflection,203,43,246
2026-02-16 02:10:45,mistralai/mistral-large-3-675b-instruct-2512,persona,594,59,653
2026-02-16 02:10:47,accounts/fireworks/models/kimi-k2p5,reflection,192,40,232
2026-02-16 02:11:02,mistralai/mistral-large-3-675b-instruct-2512,persona,698,36,734
2026-02-16 02:11:03,accounts/fireworks/models/kimi-k2p5,reflection,179,51,230
2026-02-16 02:11:06,accounts/fireworks/models/kimi-k2p5,reflection,450,183,633
2026-02-16 02:11:20,mistralai/mistral-large-3-675b-instruct-2512,persona,734,78,812
2026-02-16 02:11:22,accounts/fireworks/models/kimi-k2p5,reflection,202,40,242
2026-02-16 02:11:37,mistralai/mistral-large-3-675b-instruct-2512,persona,780,59,839
2026-02-16 02:11:44,accounts/fireworks/models/kimi-k2p5,extract,224,41,265
2026-02-16 02:11:45,accounts/fireworks/models/kimi-k2p5,reflection,103,42,145
2026-02-16 02:11:47,accounts/fireworks/models/kimi-k2p5,extract,225,47,272
2026-02-16 02:11:49,accounts/fireworks/models/kimi-k2p5,persona,550,400,950
2026-02-16 02:11:58,accounts/fireworks/models/kimi-k2p5,persona,745,400,1145
2026-02-16 02:12:01,accounts/fireworks/models/kimi-k2p5,reflection,351,55,406
2026-02-16 02:12:03,accounts/fireworks/models/kimi-k2p5,extract,223,54,277
2026-02-16 02:12:04,accounts/fireworks/models/kimi-k2p5,persona,871,400,1271
2026-02-16 02:12:05,accounts/fireworks/models/kimi-k2p5,reflection,621,183,804
2026-02-16 02:12:05,accounts/fireworks/models/kimi-k2p5,reflection,630,97,727
2026-02-16 02:12:08,accounts/fireworks/models/kimi-k2p5,extract,223,53,276
2026-02-16 02:12:10,accounts/fireworks/models/kimi-k2p5,persona,864,400,1264
2026-02-16 02:12:11,accounts/fireworks/models/kimi-k2p5,reflection,573,49,622
2026-02-16 02:12:13,accounts/fireworks/models/kimi-k2p5,extract,228,41,269
2026-02-16 02:12:14,accounts/fireworks/models/kimi-k2p5,reflection,101,44,145
2026-02-16 02:12:19,accounts/fireworks/models/kimi-k2p5,persona,526,400,926
2026-02-16 02:12:21,accounts/fireworks/models/kimi-k2p5,reflection,402,70,472
2026-02-16 02:12:23,accounts/fireworks/models/kimi-k2p5,extract,238,55,293
2026-02-16 02:12:26,accounts/fireworks/models/kimi-k2p5,persona,873,400,1273
2026-02-16 02:12:28,accounts/fireworks/models/kimi-k2p5,reflection,589,63,652
2026-02-16 02:12:29,accounts/fireworks/models/kimi-k2p5,reflection,851,122,973
2026-02-16 02:12:30,accounts/fireworks/models/kimi-k2p5,extract,217,55,272
2026-02-16 02:12:33,accounts/fireworks/models/kimi-k2p5,persona,1106,400,1506
2026-02-16 02:12:34,accounts/fireworks/models/kimi-k2p5,reflection,442,47,489
2026-02-16 02:12:39,accounts/fireworks/models/kimi-k2p5,persona,1209,400,1609
2026-02-16 02:12:40,accounts/fireworks/models/kimi-k2p5,reflection,242,47,289
2026-02-16 02:12:45,accounts/fireworks/models/kimi-k2p5,persona,525,400,925
2026-02-16 02:12:46,accounts/fireworks/models/kimi-k2p5,reflection,254,58,312
2026-02-16 02:12:51,accounts/fireworks/models/kimi-k2p5,persona,694,400,1094
2026-02-16 02:12:57,accounts/fireworks/models/kimi-k2p5,reflection,580,133,713
2026-02-16 02:12:58,accounts/fireworks/models/kimi-k2p5,persona,1075,400,1475
